Registro,V avg [V],Van [V],Vbn [V],Vcn [V],I avg [A],Ia [A],Ib [A] ,Ic [A],U avg [V],Uab [V],Ubc [V],Uca [V],PF,PFa,PFb,PFc,LC,LCa,LCb,LCc,P [W],Pa [W],Pb [W],Pc [W],Q [VAr],Qa [VAr],Qb [VAr],Qc [VAr],S [VA],Sa [VA],Sb [VA],Sc [VA],F [Hz],In [A],p @ F,Van min [V],Vbn min [V],Vcn min [V],Uab min [V],Ubc min [V],Uca min [V],Van avg [V],Vbn avg [V],Vcn avg [V],Uab avg [V],Ubc avg [V],Uca avg [V],Van max [V],Vbn max [V],Vcn max [V],Uab max [V],Ubc max [V],Uca max [V],Ia min [A],Ib min [A],Ic min [A],Ia avg [A],Ib avg [A],Ic avg [A],Ia max [A],Ib max [A],Ic max [A],PFa min,PFb min,PFc min,LCa min,LCb min,LCc min,PFa avg,PFb avg,PFc avg,LCa avg,LCb avg,LCc avg,PFa max,PFb max,PFc max,LCa max,LCb max,LCc max,p @ V min,ts @ V min,p @ V max,ts @ V max,pg @ U min,ts @ U min,pg @ U max,ts @ U max,q @ I min,ts @ I min,q @ I max,ts @ I max,p @ PF min,ts @ PF min,p @ PF max,ts @ PF max,F min [Hz],F max [Hz],F avg [Hz],ts @ F min,ts @ F max,Status,Va evt ,Vb evt ,Vc evt ,Ph [kWh],Ph sum [kWh],Ph fwd [kWh],Ph rev [kWh],Qh [kVArh],Qh sum [kVArh],Qh fwd [kVArh],Qh rev [kVArh],Qh rev {i} [kVArh],Qh rev {c} [kVArh],Qh fwd {i} [kVArh],Qh fwd {c} [kVArh],Sh [kVAh],Sd pred [VA],Sd [VA],Sd peak [VA],Pd pred [W],Pd [W],Pd peak [W],Qd pred [VAr],Qd [VAr],Qd peak [VAr],Qd pred {i} [VAr],Qd {i} [VAr],Qd peak {i} [VAr],Qd pred {c} [VAr],Qd {c} [VAr],Qd peak {c} [VAr]
10/04/2023 02:30,221.62,220.86,222.18,221.83,53.38,55.72,47.80,56.62,383.86,383.20,385.12,383.27,0.91,0.93,0.94,0.86,IND,IND,IND,IND,32297.96,11469.72,10032.79,10795.45,14362.48,4461.52,3482.90,6418.06,35347.40,12306.90,10620.14,12559.18,60.03,22.26,A,220.29,221.67,221.14,382.53,384.30,382.17,220.94,222.02,221.58,383.45,384.80,382.79,221.29,222.32,221.90,383.96,385.29,383.35,39.91,47.73,54.37,43.41,54.30,63.59,64.13,70.16,78.46,0.89,0.94,0.85,IND,IND,IND,0.93,0.96,0.88,IND,IND,IND,0.95,0.98,0.91,IND,IND,IND,A,10/04/2023 02:29,B,10/04/2023 02:24,C,10/04/2023 02:22,B,10/04/2023 02:25,A,10/04/2023 02:21,C,10/04/2023 02:21,C,10/04/2023 02:28,A,31/12/1969 21:00,59.98,60.03,60.01,10/04/2023 02:22,10/04/2023 02:27,Válido,None,None,None,5.47,5.47,5.47,0.00,2.27,2.27,2.27,0.00,0.00,0.00,2.27,0.00,5.93,7.85,35455.81,89814.64,7.18,32809.06,73219.26,3.19,13412.83,24259.36,3.19,13412.83,24259.36,0.00,0.00,21763.25
10/04/2023 02:40,221.51,220.82,221.97,221.73,56.88,52.12,60.81,57.71,383.66,383.22,384.67,383.09,0.93,0.94,0.97,0.85,IND,IND,IND,IND,34732.39,10784.82,13058.60,10888.98,14154.48,4017.61,3415.76,6721.12,37505.84,11508.84,13497.94,12796.22,60.01,16.44,A,220.32,221.57,221.19,382.47,383.90,382.22,220.79,221.99,221.60,383.18,384.69,382.87,221.08,222.29,221.90,383.72,385.22,383.41,44.15,47.21,53.92,51.97,56.41,61.46,66.76,74.41,77.05,0.91,0.93,0.83,IND,IND,IND,0.93,0.96,0.86,IND,IND,IND,0.95,0.98,0.89,IND,IND,IND,A,10/04/2023 02:35,B,10/04/2023 02:33,C,10/04/2023 02:35,B,10/04/2023 02:32,A,10/04/2023 02:37,C,10/04/2023 02:32,C,10/04/2023 02:37,A,31/12/1969 21:00,59.98,60.03,60.00,10/04/2023 02:32,10/04/2023 02:33,Válido,None,None,None,5.75,5.75,5.75,0.00,2.39,2.39,2.39,0.00,0.00,0.00,2.39,0.00,6.23,24917.16,35455.81,89814.64,22998.65,32809.06,73219.26,9575.59,13412.83,24259.36,9575.59,13412.83,24259.36,0.00,0.00,21763.25
10/04/2023 02:50,221.19,220.44,221.59,221.54,53.18,48.45,57.95,53.14,383.11,382.59,384.20,382.55,0.91,0.91,0.95,0.86,IND,IND,IND,IND,32103.37,9729.66,12249.13,10124.59,14269.74,4404.50,3856.29,6008.94,35131.92,10680.16,12841.81,11773.47,59.98,14.19,A,220.34,221.23,221.26,382.47,383.56,382.23,220.71,221.76,221.68,383.00,384.48,382.88,220.98,222.10,222.15,383.46,385.08,383.61,43.38,53.69,50.93,48.62,58.76,56.36,63.09,71.28,68.42,0.89,0.93,0.85,IND,IND,IND,0.91,0.95,0.87,IND,IND,IND,0.94,0.97,0.89,IND,IND,IND,A,10/04/2023 02:48,C,10/04/2023 02:41,C,10/04/2023 02:48,B,10/04/2023 02:41,A,10/04/2023 02:44,B,10/04/2023 02:45,C,10/04/2023 02:40,A,31/12/1969 21:00,59.97,60.04,60.00,10/04/2023 02:47,10/04/2023 02:40,Válido,None,None,None,5.51,5.51,5.51,0.00,2.42,2.42,2.42,0.00,0.00,0.00,2.42,0.00,6.02,11986.66,36999.74,89814.64,10939.00,34101.71,73219.26,4899.89,14338.46,24259.36,4899.89,14338.46,24259.36,0.00,0.00,21763.25
10/04/2023 03:00,221.14,220.48,221.63,221.30,51.53,46.84,57.53,50.23,383.02,382.76,383.87,382.42,0.92,0.93,0.97,0.82,IND,IND,IND,IND,31134.22,9627.83,12394.69,9111.70,13095.28,3733.46,2994.83,6366.99,33776.12,10326.37,12751.37,11115.83,60.01,17.71,A,220.00,221.06,220.97,381.74,383.32,381.72,220.48,221.62,221.35,382.63,384.13,382.37,220.72,221.91,221.68,383.21,384.76,382.86,38.93,45.19,50.20,46.69,52.57,55.21,62.46,66.11,71.33,0.90,0.91,0.82,IND,IND,IND,0.92,0.95,0.86,IND,IND,IND,0.93,0.97,0.90,IND,IND,IND,A,10/04/2023 02:53,B,10/04/2023 02:50,C,10/04/2023 02:58,B,10/04/2023 02:51,A,10/04/2023 02:58,C,10/04/2023 02:58,C,10/04/2023 02:59,A,31/12/1969 21:00,59.97,60.03,60.00,10/04/2023 02:57,10/04/2023 02:52,Válido,None,None,None,5.16,5.16,5.16,0.00,2.33,2.33,2.33,0.00,0.00,0.00,2.33,0.00,5.66,7.51,34637.41,89814.64,6.92,31583.53,73219.26,2.91,14208.82,24259.36,2.91,14208.82,24259.36,0.00,0.00,21763.25
10/04/2023 03:10,220.57,219.88,221.18,220.66,54.61,48.23,55.82,59.78,382.04,381.88,383.12,381.12,0.92,0.90,0.97,0.88,IND,IND,IND,IND,33118.55,9567.52,11989.75,11561.28,13868.97,4574.10,2946.09,6348.78,35905.25,10604.71,12346.40,13189.77,60.02,13.99,A,219.48,220.59,219.98,380.96,382.34,380.53,220.01,221.29,220.79,381.89,383.39,381.50,220.59,221.66,221.33,382.88,383.96,382.56,46.24,45.38,48.50,51.33,52.15,58.88,67.04,68.87,76.73,0.90,0.94,0.82,IND,IND,IND,0.93,0.96,0.86,IND,IND,IND,0.95,0.97,0.90,IND,IND,IND,A,10/04/2023 03:08,B,10/04/2023 03:01,C,10/04/2023 03:06,B,10/04/2023 03:01,B,10/04/2023 03:05,C,10/04/2023 03:06,C,10/04/2023 03:01,A,31/12/1969 21:00,59.96,60.03,60.00,10/04/2023 03:00,10/04/2023 03:08,Válido,None,None,None,5.46,5.46,5.46,0.00,2.31,2.31,2.31,0.00,0.00,0.00,2.31,0.00,5.93,23734.33,34637.41,89814.64,21862.84,31583.53,73219.26,9234.30,14208.82,24259.36,9234.30,14208.82,24259.36,0.00,0.00,21763.25
10/04/2023 03:20,220.62,219.86,221.21,220.78,56.82,57.88,56.74,55.83,382.12,381.70,383.17,381.49,0.92,0.93,0.96,0.85,IND,IND,IND,IND,34484.92,11862.81,12107.69,10514.42,14343.13,4605.06,3305.46,6432.62,37348.83,12725.29,12550.79,12326.05,60.01,21.62,A,219.31,220.78,220.16,381.14,382.35,380.46,219.79,221.17,220.56,381.67,383.08,381.03,220.10,221.45,220.96,382.22,383.73,381.71,43.39,44.25,53.87,50.56,52.99,59.25,65.51,66.35,70.63,0.88,0.94,0.83,IND,IND,IND,0.91,0.96,0.85,IND,IND,IND,0.94,0.97,0.89,IND,IND,IND,A,10/04/2023 03:15,B,10/04/2023 03:10,C,10/04/2023 03:16,B,10/04/2023 03:10,A,10/04/2023 03:15,C,10/04/2023 03:10,C,10/04/2023 03:14,A,31/12/1969 21:00,59.97,60.05,60.00,10/04/2023 03:14,10/04/2023 03:18,Válido,None,None,None,5.43,5.43,5.43,0.00,2.40,2.40,2.40,0.00,0.00,0.00,2.40,0.00,5.94,12320.93,35175.86,89814.64,11363.09,32223.52,73219.26,4759.98,14082.19,24259.36,4759.98,14082.19,24259.36,0.00,0.00,21763.25
10/04/2023 03:30,220.99,220.57,221.71,220.69,53.82,44.56,47.57,69.32,382.76,382.85,383.84,381.61,0.93,0.95,0.96,0.87,IND,IND,IND,IND,32777.77,9370.16,10157.99,13249.61,13453.93,2968.87,2838.58,7646.48,35431.48,9829.25,10547.15,15297.74,60.00,28.14,A,219.59,221.01,220.48,381.24,382.97,381.04,220.16,221.44,220.93,382.19,383.68,381.67,220.67,221.78,221.28,383.02,384.29,382.14,41.46,33.87,47.75,47.21,49.10,57.36,58.72,63.46,75.85,0.88,0.90,0.83,IND,IND,IND,0.91,0.95,0.86,IND,IND,IND,0.95,0.97,0.89,IND,IND,IND,A,10/04/2023 03:21,B,10/04/2023 03:29,C,10/04/2023 03:21,B,10/04/2023 03:24,B,10/04/2023 03:24,C,10/04/2023 03:29,C,10/04/2023 03:25,A,31/12/1969 21:00,59.98,60.04,60.01,10/04/2023 03:20,10/04/2023 03:28,Válido,None,None,None,5.12,5.12,5.12,0.00,2.34,2.34,2.34,0.00,0.00,0.00,2.34,0.00,5.63,15.75,34818.32,89814.64,14.57,31814.88,73219.26,5.98,14096.08,24259.36,5.98,14096.08,24259.36,0.00,0.00,21763.25
10/04/2023 03:40,221.31,220.75,221.89,221.28,50.89,44.18,49.28,59.21,383.31,383.16,384.36,382.43,0.91,0.93,0.96,0.85,IND,IND,IND,IND,30618.41,9024.54,10443.75,11150.12,13819.25,3700.10,3241.27,6877.88,33592.54,9753.62,10935.16,13100.78,60.01,17.96,A,220.40,221.37,220.65,382.23,383.62,381.57,220.72,221.76,221.25,382.95,384.25,382.40,221.05,222.08,221.72,383.65,384.89,383.00,36.77,41.42,44.70,43.07,46.47,57.48,57.34,60.72,76.69,0.90,0.92,0.84,IND,IND,IND,0.93,0.94,0.86,IND,IND,IND,0.95,0.96,0.91,IND,IND,IND,A,10/04/2023 03:34,B,10/04/2023 03:38,C,10/04/2023 03:30,B,10/04/2023 03:33,A,10/04/2023 03:36,C,10/04/2023 03:32,C,10/04/2023 03:33,A,31/12/1969 21:00,59.98,60.03,60.00,10/04/2023 03:35,10/04/2023 03:36,Válido,None,None,None,4.92,4.92,4.92,0.00,2.21,2.21,2.21,0.00,0.00,0.00,2.21,0.00,5.40,21597.17,34818.32,89814.64,19703.91,31814.88,73219.26,8836.90,14096.08,24259.36,8836.90,14096.08,24259.36,0.00,0.00,21763.25
10/04/2023 03:50,221.28,220.68,221.76,221.41,54.12,48.79,54.70,58.86,383.28,382.98,384.35,382.50,0.93,0.94,0.95,0.89,IND,IND,IND,IND,33266.85,10093.81,11527.03,11646.01,13377.16,3748.27,3780.10,5848.79,35855.70,10767.29,12131.02,13032.19,60.02,14.52,A,220.17,221.39,220.58,381.96,383.40,381.42,220.69,221.80,221.31,382.94,384.28,382.50,221.09,222.11,221.68,383.67,384.85,383.13,39.92,41.24,52.07,47.54,50.01,58.32,60.37,65.36,72.43,0.90,0.92,0.83,IND,IND,IND,0.94,0.96,0.86,IND,IND,IND,0.95,0.97,0.90,IND,IND,IND,A,10/04/2023 03:41,B,10/04/2023 03:45,C,10/04/2023 03:44,B,10/04/2023 03:49,A,10/04/2023 03:45,C,10/04/2023 03:45,C,10/04/2023 03:44,A,31/12/1969 21:00,59.98,60.03,60.00,10/04/2023 03:42,10/04/2023 03:44,Válido,None,None,None,5.26,5.26,5.26,0.00,2.24,2.24,2.24,0.00,0.00,0.00,2.24,0.00,5.72,11587.80,32882.40,89814.64,10764.29,29972.03,73219.26,4285.06,13517.59,24259.36,4285.06,13517.59,24259.36,0.00,0.00,21763.25
10/04/2023 04:00,221.56,220.76,222.15,221.76,45.48,46.11,40.88,49.44,383.74,383.25,385.10,382.88,0.92,0.91,0.94,0.90,IND,IND,IND,IND,27634.36,9264.11,8522.86,9847.40,12176.19,4217.16,3136.67,4822.37,30197.97,10178.81,9081.73,10964.78,60.01,15.05,A,220.48,221.59,221.22,382.59,384.12,382.16,220.89,222.07,221.68,383.36,384.89,382.95,221.38,222.53,222.13,384.19,385.66,383.74,40.80,40.04,47.62,44.75,46.71,55.01,59.13,62.16,67.49,0.89,0.92,0.85,IND,IND,IND,0.92,0.95,0.88,IND,IND,IND,0.94,0.98,0.91,IND,IND,IND,A,10/04/2023 03:51,B,10/04/2023 03:57,C,10/04/2023 03:53,B,10/04/2023 03:57,B,10/04/2023 03:57,C,10/04/2023 03:52,C,10/04/2023 03:55,A,31/12/1969 21:00,59.97,60.05,60.01,10/04/2023 03:58,10/04/2023 03:54,Válido,None,None,None,4.94,4.94,4.94,0.00,2.15,2.15,2.15,0.00,0.00,0.00,2.15,0.00,5.39,13.43,33128.70,89814.64,12.29,30509.79,73219.26,5.41,12889.39,24259.36,5.41,12889.39,24259.36,0.00,0.00,21763.25
