Registro,V avg [V],Van [V],Vbn [V],Vcn [V],I avg [A],Ia [A],Ib [A] ,Ic [A],U avg [V],Uab [V],Ubc [V],Uca [V],PF,PFa,PFb,PFc,LC,LCa,LCb,LCc,P [W],Pa [W],Pb [W],Pc [W],Q [VAr],Qa [VAr],Qb [VAr],Qc [VAr],S [VA],Sa [VA],Sb [VA],Sc [VA],F [Hz],In [A],p @ F,Van min [V],Vbn min [V],Vcn min [V],Uab min [V],Ubc min [V],Uca min [V],Van avg [V],Vbn avg [V],Vcn avg [V],Uab avg [V],Ubc avg [V],Uca avg [V],Van max [V],Vbn max [V],Vcn max [V],Uab max [V],Ubc max [V],Uca max [V],Ia min [A],Ib min [A],Ic min [A],Ia avg [A],Ib avg [A],Ic avg [A],Ia max [A],Ib max [A],Ic max [A],PFa min,PFb min,PFc min,LCa min,LCb min,LCc min,PFa avg,PFb avg,PFc avg,LCa avg,LCb avg,LCc avg,PFa max,PFb max,PFc max,LCa max,LCb max,LCc max,p @ V min,ts @ V min,p @ V max,ts @ V max,pg @ U min,ts @ U min,pg @ U max,ts @ U max,q @ I min,ts @ I min,q @ I max,ts @ I max,p @ PF min,ts @ PF min,p @ PF max,ts @ PF max,F min [Hz],F max [Hz],F avg [Hz],ts @ F min,ts @ F max,Status,Va evt ,Vb evt ,Vc evt ,Ph [kWh],Ph sum [kWh],Ph fwd [kWh],Ph rev [kWh],Qh [kVArh],Qh sum [kVArh],Qh fwd [kVArh],Qh rev [kVArh],Qh rev {i} [kVArh],Qh rev {c} [kVArh],Qh fwd {i} [kVArh],Qh fwd {c} [kVArh],Sh [kVAh],Sd pred [VA],Sd [VA],Sd peak [VA],Pd pred [W],Pd [W],Pd peak [W],Qd pred [VAr],Qd [VAr],Qd peak [VAr],Qd pred {i} [VAr],Qd {i} [VAr],Qd peak {i} [VAr],Qd pred {c} [VAr],Qd {c} [VAr],Qd peak {c} [VAr]
06/04/2023 16:00,230.21,229.35,230.34,230.96,67.11,83.32,67.92,50.11,398.74,398.15,400.32,397.73,0.98,0.98,0.97,0.96,IND,IND,IND,IND,22807.09,18665.08,15213.53,-11071.52,4368.15,4095.53,3642.3,-3369.68,23221.63,19109.12,15643.46,11572.95,60.0,127.38,A,229.0,229.98,230.15,397.46,399.26,396.91,229.64,230.68,231.0,398.7,400.36,398.33,230.24,231.51,231.91,399.91,402.14,399.31,63.25,39.69,42.4,72.56,56.62,51.2,87.59,76.76,63.44,0.94,0.93,0.94,IND,IND,IND,0.96,0.96,-0.96,IND,IND,IND,0.98,0.98,0.97,IND,IND,IND,A,06/04/2023 15:57,C,06/04/2023 15:50,C,06/04/2023 15:57,B,06/04/2023 15:50,B,06/04/2023 15:57,A,06/04/2023 15:50,B,06/04/2023 15:58,A,31/12/1969 21:00,59.97,60.06,60.02,06/04/2023 15:50,06/04/2023 15:59,Válido,None,None,None,2.88,2.88,2.88,0.0,0.78,0.78,0.78,0.0,0,0.0,0.78,0.0,2.98,5.16,17418.26,93001.58,5.07,16813.27,73673.54,0.97,4466.34,69035.9,0.97,4466.34,20053,0.0,0.0,69035.9
06/04/2023 16:10,229.78,229.07,230.06,230.21,55.16,65.88,48.43,51.16,397.99,397.79,398.95,397.23,0.96,0.97,0.96,0.97,IND,IND,IND,IND,13837.78,14613.16,10691.71,-11467.09,4209.3,3767.39,3132.54,-2690.63,14463.83,15090.98,11141.16,11778.52,60.01,110.89,A,228.15,229.06,229.67,396.46,397.46,396.0,229.23,230.14,230.61,397.86,399.65,397.55,229.87,230.77,231.29,399.02,400.93,398.5,62.13,45.31,44.69,74.32,60.76,51.03,88.7,90.55,62.0,0.95,0.94,0.95,IND,IND,IND,0.97,0.97,-0.96,IND,IND,IND,0.98,0.98,0.98,IND,IND,IND,A,06/04/2023 16:08,C,06/04/2023 16:02,C,06/04/2023 16:04,B,06/04/2023 16:02,C,06/04/2023 16:07,B,06/04/2023 16:03,B,06/04/2023 16:05,A,31/12/1969 21:00,59.97,60.06,60.01,06/04/2023 16:05,06/04/2023 16:08,Válido,None,None,None,3.12,3.12,3.12,0.0,0.74,0.74,0.74,0.0,0,0.0,0.74,0.0,3.21,12856.06,17418.26,93001.58,12486.82,16813.27,73673.54,2965.7,4466.34,69035.9,2965.7,4466.34,20053,0.0,0.0,69035.9
06/04/2023 16:20,229.23,227.98,230.01,229.71,61.95,88.34,38.31,59.19,397.04,397.29,398.21,395.62,0.96,0.97,0.95,0.97,IND,IND,IND,IND,14701.19,19495.32,8389.33,-13183.46,4423.48,5053.7,2699.27,-3329.5,15352.27,20139.7,8812.88,13597.39,59.98,130.54,A,227.37,228.72,229.21,395.58,396.7,394.71,228.43,230.07,229.86,397.56,398.46,396.24,229.18,230.52,230.38,398.29,399.36,397.39,65.74,35.52,48.18,80.3,42.05,57.65,104.42,54.95,77.33,0.95,0.95,0.96,IND,IND,IND,0.97,0.96,-0.97,IND,IND,IND,0.98,0.98,0.98,IND,IND,IND,A,06/04/2023 16:18,B,06/04/2023 16:17,C,06/04/2023 16:18,B,06/04/2023 16:10,B,06/04/2023 16:18,A,06/04/2023 16:18,B,06/04/2023 16:17,A,31/12/1969 21:00,59.97,60.05,60.01,06/04/2023 16:16,06/04/2023 16:11,Válido,None,None,None,2.36,2.36,2.36,0.0,0.68,0.68,0.68,0.0,0,0.0,0.68,0.0,2.46,4615.82,18091.8,93001.58,4385.81,17557.81,73673.54,1434.31,4258.22,69035.9,1434.31,4258.22,20053,0.0,0.0,69035.9
06/04/2023 16:30,229.04,227.95,229.54,229.63,56.77,82.28,38.87,49.17,396.71,396.78,397.83,395.52,0.97,0.97,0.96,0.97,IND,IND,IND,IND,15805.85,18247.59,8537.93,-10979.67,4295.27,4336.91,2591.18,-2632.82,16379.08,18755.89,8922.47,11290.92,59.96,116.93,A,227.52,229.27,229.16,396.42,397.18,394.74,227.96,229.81,229.59,397.12,397.94,395.48,228.35,230.16,230.0,397.68,398.65,396.12,77.4,32.52,48.8,85.2,37.22,53.77,98.92,49.41,62.46,0.95,0.92,0.96,IND,IND,IND,0.97,0.95,-0.97,IND,IND,IND,0.98,0.97,0.98,IND,IND,IND,A,06/04/2023 16:25,B,06/04/2023 16:24,C,06/04/2023 16:25,B,06/04/2023 16:22,B,06/04/2023 16:27,A,06/04/2023 16:20,B,06/04/2023 16:28,A,31/12/1969 21:00,59.93,60.02,59.97,06/04/2023 16:28,06/04/2023 16:22,Válido,None,None,None,2.49,2.49,2.49,0.0,0.75,0.75,0.75,0.0,0,0.0,0.75,0.0,2.61,3.64,15034.48,93001.58,3.51,14354.91,73673.54,0.95,4446.62,69035.9,0.95,4446.62,20053,0.0,0.0,69035.9
06/04/2023 16:40,230.04,229.16,230.53,230.42,57.45,77.73,42.34,52.28,398.43,398.56,399.42,397.32,0.98,0.97,0.96,0.95,IND,IND,IND,IND,15215.83,17313.41,9377.27,-11474.85,3228.74,4187.84,2711.35,-3670.45,15554.63,17812.7,9761.39,12047.59,60.0,118.33,A,227.12,228.24,228.5,394.58,396.51,393.96,228.04,229.48,229.52,396.77,397.72,395.47,229.34,230.61,230.55,398.76,399.5,397.68,73.33,36.77,48.97,84.65,43.69,53.14,98.54,58.15,64.23,0.96,0.93,0.95,IND,IND,IND,0.98,0.96,-0.96,IND,IND,IND,0.98,0.98,0.97,IND,IND,IND,A,06/04/2023 16:33,B,06/04/2023 16:39,C,06/04/2023 16:33,B,06/04/2023 16:39,B,06/04/2023 16:30,A,06/04/2023 16:32,B,06/04/2023 16:32,A,31/12/1969 21:00,59.93,60.02,59.97,06/04/2023 16:33,06/04/2023 16:37,Válido,None,None,None,2.79,2.79,2.79,0.0,0.59,0.59,0.59,0.0,0,0.0,0.59,0.0,2.86,11425.82,15034.48,93001.58,11172.53,14354.91,73673.54,2378.21,4446.62,69035.9,2378.21,4446.62,20053,0.0,0.0,69035.9
06/04/2023 16:50,230.35,229.42,231.05,230.58,66.09,82.01,42.29,73.97,398.97,399.26,399.58,398.08,0.92,0.96,0.95,0.98,IND,IND,IND,IND,10702.01,18115.41,9286.57,-16699.97,4652.97,5082.89,3041.47,-3471.38,11669.76,18814.99,9771.95,17056.95,59.99,140.7,A,228.32,230.21,230.08,397.89,398.68,395.96,229.23,230.83,230.61,398.95,399.7,397.6,229.83,231.38,231.05,399.86,400.45,398.74,74.72,35.18,47.4,83.61,42.15,61.37,101.91,53.77,74.15,0.95,0.93,0.93,IND,IND,IND,0.97,0.95,-0.96,IND,IND,IND,0.98,0.97,0.98,IND,IND,IND,A,06/04/2023 16:40,B,06/04/2023 16:49,C,06/04/2023 16:40,B,06/04/2023 16:49,B,06/04/2023 16:42,A,06/04/2023 16:49,B,06/04/2023 16:45,A,31/12/1969 21:00,59.96,60.06,60.01,06/04/2023 16:40,06/04/2023 16:46,Válido,None,None,None,2.38,2.38,2.38,0.0,0.62,0.62,0.62,0.0,0,0.0,0.62,0.0,2.46,4411.51,4316.27,93001.58,4174.41,4231.75,73673.54,1421.33,836.74,69035.9,1421.33,836.74,20053,0.0,0.0,69035.9
06/04/2023 17:00,230.27,229.3,230.81,230.71,52.76,75.26,34.18,48.84,398.84,398.98,399.83,397.7,0.97,0.97,0.96,0.96,IND,IND,IND,IND,13511.72,16759.79,7544.36,-10792.43,3185.96,4114.24,2307.04,-3235.31,13882.26,17257.39,7889.22,11266.94,60.0,111.38,A,226.37,229.85,229.77,395.4,399.21,393.55,229.43,230.94,230.95,399.3,400.19,397.91,229.8,231.44,231.43,400.14,400.99,398.58,65.24,33.53,40.71,82.79,39.45,50.16,100.23,48.73,76.63,0.95,0.95,0.94,IND,IND,IND,0.97,0.96,-0.96,IND,IND,IND,0.98,0.97,0.98,IND,IND,IND,A,06/04/2023 16:55,B,06/04/2023 16:50,C,06/04/2023 16:55,B,06/04/2023 16:52,B,06/04/2023 16:58,A,06/04/2023 16:53,C,06/04/2023 16:58,A,31/12/1969 21:00,59.97,60.06,60.01,06/04/2023 16:59,06/04/2023 16:50,Válido,None,None,None,2.67,2.67,2.67,0.0,0.66,0.66,0.66,0.0,0,0.0,0.66,0.0,2.75,6.17,15419.32,93001.58,6.0,14852.31,73673.54,1.42,4069.17,69035.9,1.42,4069.17,20053,0.0,0.0,69035.9
06/04/2023 17:10,230.13,228.79,230.81,230.78,64.93,103.59,43.21,47.98,398.59,398.92,400.16,396.7,0.99,0.98,0.98,0.95,IND,IND,IND,IND,22556.22,23283.74,9748.0,-10475.52,2947.05,4430.51,2106.08,-3589.53,22747.93,23701.52,9972.92,11073.45,60.02,134.39,A,228.43,230.36,230.0,397.92,398.79,396.36,229.05,230.71,230.59,398.62,399.71,397.39,229.55,231.08,231.0,399.32,400.54,398.17,71.28,34.09,41.68,80.44,39.42,54.7,108.46,54.09,75.03,0.95,0.94,0.93,IND,IND,IND,0.97,0.96,-0.96,IND,IND,IND,0.98,0.98,0.98,IND,IND,IND,A,06/04/2023 17:04,B,06/04/2023 17:05,C,06/04/2023 17:04,B,06/04/2023 17:09,B,06/04/2023 17:00,A,06/04/2023 17:09,C,06/04/2023 17:02,A,31/12/1969 21:00,59.95,60.02,59.98,06/04/2023 17:07,06/04/2023 17:09,Válido,None,None,None,2.41,2.41,2.41,0.0,0.59,0.59,0.59,0.0,0,0.0,0.59,0.0,2.49,9957.58,15419.32,93001.58,9657.24,14852.31,73673.54,2376.31,4069.17,69035.9,2376.31,4069.17,20053,0.0,0.0,69035.9
06/04/2023 17:20,231.46,230.31,232.25,231.82,60.27,86.43,33.49,60.9,400.9,401.37,401.78,399.54,0.96,0.98,0.95,0.98,IND,IND,IND,IND,12994.12,19424.47,7412.63,-13842.98,3927.97,4352.15,2352.95,-2777.13,13574.83,19906.06,7777.11,14118.81,59.99,130.46,A,228.72,230.77,230.61,398.82,399.75,396.56,229.36,231.37,231.26,399.86,400.86,397.85,230.35,232.31,232.23,401.46,402.58,399.66,84.86,32.75,40.89,100.18,40.71,52.95,113.83,55.61,63.01,0.97,0.95,0.94,IND,IND,IND,0.98,0.97,-0.96,IND,IND,IND,0.98,0.98,0.98,IND,IND,IND,A,06/04/2023 17:10,B,06/04/2023 17:19,C,06/04/2023 17:10,B,06/04/2023 17:19,B,06/04/2023 17:19,A,06/04/2023 17:18,C,06/04/2023 17:13,A,31/12/1969 21:00,59.98,60.06,60.02,06/04/2023 17:10,06/04/2023 17:10,Válido,None,None,None,3.31,3.31,3.31,0.0,0.59,0.59,0.59,0.0,0,0.0,0.59,0.0,3.36,6490.59,16923.7,93001.58,6366.56,16534.06,73673.54,1246.08,3483.68,69035.9,1246.08,3483.68,20053,0.0,0.0,69035.9
06/04/2023 17:30,231.24,230.16,231.8,231.78,57.57,87.45,35.55,49.72,400.52,400.91,401.48,399.17,0.97,0.98,0.94,0.98,IND,IND,IND,IND,16234.59,19701.13,7783.06,-11249.6,4325.16,4118.55,2707.38,-2500.76,16800.87,20127.02,8240.51,11524.2,59.99,123.7,A,229.6,231.39,231.56,399.96,400.88,398.49,230.46,232.13,232.04,401.24,402.18,399.72,231.28,232.72,232.75,402.23,403.39,401.3,67.41,32.53,41.06,88.56,44.51,55.56,113.14,68.59,68.7,0.95,0.93,0.96,IND,IND,IND,0.98,0.98,-0.98,IND,IND,IND,0.99,0.99,0.99,IND,IND,IND,A,06/04/2023 17:29,C,06/04/2023 17:27,C,06/04/2023 17:20,B,06/04/2023 17:27,B,06/04/2023 17:20,A,06/04/2023 17:22,B,06/04/2023 17:29,A,31/12/1969 21:00,59.96,60.04,60.0,06/04/2023 17:28,06/04/2023 17:27,Válido,None,None,None,2.91,2.91,2.91,0.0,0.62,0.62,0.62,0.0,0,0.0,0.62,0.0,2.98,7.47,18388.29,93001.58,7.22,17987.03,73673.54,1.91,3719.0,69035.9,1.91,3719.0,20053,0.0,0.0,69035.9
