Registro,V avg [V],Van [V],Vbn [V],Vcn [V],I avg [A],Ia [A],Ib [A] ,Ic [A],U avg [V],Uab [V],Ubc [V],Uca [V],PF,PFa,PFb,PFc,LC,LCa,LCb,LCc,P [W],Pa [W],Pb [W],Pc [W],Q [VAr],Qa [VAr],Qb [VAr],Qc [VAr],S [VA],Sa [VA],Sb [VA],Sc [VA],F [Hz],In [A],p @ F,Van min [V],Vbn min [V],Vcn min [V],Uab min [V],Ubc min [V],Uca min [V],Van avg [V],Vbn avg [V],Vcn avg [V],Uab avg [V],Ubc avg [V],Uca avg [V],Van max [V],Vbn max [V],Vcn max [V],Uab max [V],Ubc max [V],Uca max [V],Ia min [A],Ib min [A],Ic min [A],Ia avg [A],Ib avg [A],Ic avg [A],Ia max [A],Ib max [A],Ic max [A],PFa min,PFb min,PFc min,LCa min,LCb min,LCc min,PFa avg,PFb avg,PFc avg,LCa avg,LCb avg,LCc avg,PFa max,PFb max,PFc max,LCa max,LCb max,LCc max,p @ V min,ts @ V min,p @ V max,ts @ V max,pg @ U min,ts @ U min,pg @ U max,ts @ U max,q @ I min,ts @ I min,q @ I max,ts @ I max,p @ PF min,ts @ PF min,p @ PF max,ts @ PF max,F min [Hz],F max [Hz],F avg [Hz],ts @ F min,ts @ F max,Status,Va evt ,Vb evt ,Vc evt ,Ph [kWh],Ph sum [kWh],Ph fwd [kWh],Ph rev [kWh],Qh [kVArh],Qh sum [kVArh],Qh fwd [kVArh],Qh rev [kVArh],Qh rev {i} [kVArh],Qh rev {c} [kVArh],Qh fwd {i} [kVArh],Qh fwd {c} [kVArh],Sh [kVAh],Sd pred [VA],Sd [VA],Sd peak [VA],Pd pred [W],Pd [W],Pd peak [W],Qd pred [VAr],Qd [VAr],Qd peak [VAr],Qd pred {i} [VAr],Qd {i} [VAr],Qd peak {i} [VAr],Qd pred {c} [VAr],Qd {c} [VAr],Qd peak {c} [VAr]
11/04/2023 17:00,214.22,213.97,215.49,213.21,25.98,12.70,16.22,49.02,371.04,371.83,372.53,368.75,0.87,0.82,0.85,0.89,IND,IND,IND,IND,14490.19,2238.96,2955.59,9295.65,8183.06,1541.13,1864.57,4777.37,16641.16,2718.09,3494.59,10451.42,59.98,34.08,A,213.63,215.21,212.76,371.21,372.13,368.23,214.72,216.12,213.94,373.13,373.57,370.07,215.50,217.02,214.83,374.64,375.09,371.36,4.60,6.25,35.03,8.66,12.42,39.72,18.39,32.68,59.05,0.46,0.24,0.79,IND,IND,IND,0.74,0.73,0.90,IND,IND,IND,0.89,0.97,0.96,IND,IND,IND,C,11/04/2023 16:59,B,11/04/2023 16:53,C,11/04/2023 16:59,B,11/04/2023 16:53,A,11/04/2023 16:53,C,11/04/2023 16:59,B,11/04/2023 16:50,A,31/12/1969 21:00,59.95,60.03,59.99,11/04/2023 16:59,11/04/2023 16:53,Válido,None,None,None,1.83,1.83,1.83,0.00,1.11,1.11,1.11,0.00,0.00,0.00,1.11,0.00,2.14,3.70,12174.29,145644.70,3.22,10279.23,143436.20,1.82,6479.91,-64429.99,1.82,6479.91,-64429.99,0.00,0.00,-19588.15
11/04/2023 17:10,213.63,213.20,214.52,213.16,28.75,23.42,24.72,38.12,370.01,370.19,371.46,368.39,0.91,0.95,0.83,0.93,IND,IND,IND,IND,16655.61,4746.14,4391.36,7518.11,7608.20,1554.33,2971.90,3081.97,18311.03,4994.17,5302.47,8125.30,60.00,22.48,A,212.87,213.94,212.52,369.61,370.35,367.54,213.58,214.91,213.20,370.97,371.95,368.52,214.20,215.69,213.77,372.20,373.24,369.39,11.34,14.28,37.00,15.84,20.10,43.06,29.84,33.31,56.85,0.79,0.78,0.86,IND,IND,IND,0.88,0.82,0.92,IND,IND,IND,0.95,0.90,0.96,IND,IND,IND,C,11/04/2023 17:07,B,11/04/2023 17:00,C,11/04/2023 17:07,B,11/04/2023 17:01,A,11/04/2023 17:05,C,11/04/2023 17:03,B,11/04/2023 17:05,A,31/12/1969 21:00,59.91,60.04,59.98,11/04/2023 17:07,11/04/2023 17:08,Válido,None,None,None,2.50,2.50,2.50,0.00,1.25,1.25,1.25,0.00,0.00,0.00,1.25,0.00,2.80,11200.53,12174.29,145644.70,10011.49,10279.23,143436.20,5006.55,6479.91,-64429.99,5006.55,6479.91,-64429.99,0.00,0.00,-19588.15
11/04/2023 17:20,214.57,214.10,215.74,213.87,31.32,17.40,23.95,52.61,371.64,372.24,373.59,369.09,0.92,0.83,0.84,0.97,IND,IND,IND,IND,18319.90,3102.89,4342.54,10874.46,7747.24,2061.89,2799.99,2885.36,19890.66,3725.50,5166.97,11250.75,60.03,37.19,A,212.81,214.31,212.87,369.77,371.08,367.68,213.66,215.24,213.56,371.26,372.74,368.75,214.24,215.92,214.06,372.34,373.86,369.65,15.71,22.19,36.86,21.34,24.26,47.15,29.97,34.29,61.17,0.81,0.82,0.90,IND,IND,IND,0.92,0.84,0.95,IND,IND,IND,0.98,0.90,0.98,IND,IND,IND,A,11/04/2023 17:10,B,11/04/2023 17:18,C,11/04/2023 17:10,B,11/04/2023 17:18,A,11/04/2023 17:19,C,11/04/2023 17:14,A,11/04/2023 17:12,A,31/12/1969 21:00,59.97,60.06,60.02,11/04/2023 17:12,11/04/2023 17:14,Válido,None,None,None,3.03,3.03,3.03,0.00,1.27,1.27,1.27,0.00,0.00,0.00,1.27,0.00,3.29,6787.56,17553.30,145644.70,6323.08,15800.72,143436.20,2463.09,7611.47,-64429.99,2463.09,7611.47,-64429.99,0.00,0.00,-19588.15
11/04/2023 17:30,213.89,212.40,215.48,213.79,47.07,60.82,27.65,52.75,370.46,369.79,373.45,368.15,0.91,0.88,0.82,0.97,IND,IND,IND,IND,27167.06,11328.41,4864.86,10973.79,12251.87,6209.48,3438.23,2604.16,29801.97,12918.61,5957.21,11278.55,60.03,27.10,A,212.40,215.16,213.47,369.79,372.70,368.15,213.92,215.58,213.92,371.76,373.45,369.21,214.59,215.91,214.27,372.75,374.04,370.08,13.07,21.73,45.31,23.49,25.01,50.13,60.84,35.51,62.92,0.67,0.80,0.94,IND,IND,IND,0.89,0.83,0.96,IND,IND,IND,0.96,0.89,0.98,IND,IND,IND,A,11/04/2023 17:30,B,11/04/2023 17:24,C,11/04/2023 17:30,B,11/04/2023 17:28,A,11/04/2023 17:20,C,11/04/2023 17:24,A,11/04/2023 17:21,A,31/12/1969 21:00,59.99,60.05,60.02,11/04/2023 17:22,11/04/2023 17:24,Válido,None,None,None,3.21,3.21,3.21,0.00,1.36,1.36,1.36,0.00,0.00,0.00,1.36,0.00,3.49,6.62,20722.41,145644.70,6.04,19154.43,143436.20,2.72,7884.01,-64429.99,2.72,7884.01,-64429.99,0.00,0.00,-19588.15
11/04/2023 17:40,213.99,213.56,214.99,213.43,36.34,23.88,28.55,56.58,370.64,370.97,372.57,368.38,0.94,0.93,0.85,0.97,IND,IND,IND,IND,21704.52,4743.36,5188.11,11773.06,7841.32,1875.02,3279.76,2686.54,23077.53,5100.50,6137.86,12075.69,60.03,38.17,A,212.39,214.22,213.05,369.60,371.36,367.61,213.51,214.87,213.66,370.84,372.53,368.65,214.27,215.69,214.26,371.73,373.90,369.56,18.62,26.14,50.39,27.98,36.64,52.60,61.11,59.52,61.62,0.84,0.80,0.95,IND,IND,IND,0.92,0.85,0.97,IND,IND,IND,0.99,0.87,0.98,IND,IND,IND,A,11/04/2023 17:30,B,11/04/2023 17:30,C,11/04/2023 17:37,B,11/04/2023 17:31,A,11/04/2023 17:32,C,11/04/2023 17:36,B,11/04/2023 17:31,A,31/12/1969 21:00,59.98,60.06,60.02,11/04/2023 17:33,11/04/2023 17:36,Válido,None,None,None,3.85,3.85,3.85,0.00,1.49,1.49,1.49,0.00,0.00,0.00,1.49,0.00,4.13,16535.75,20722.41,145644.70,15418.40,19154.43,143436.20,5957.14,7884.01,-64429.99,5957.14,7884.01,-64429.99,0.00,0.00,-19588.15
11/04/2023 17:50,216.98,216.24,218.10,216.60,39.09,30.31,30.24,56.73,375.82,375.90,378.01,373.55,0.93,0.89,0.88,0.97,IND,IND,IND,IND,23532.72,5809.71,5813.53,11909.48,9173.53,3032.83,3116.35,3024.35,25257.52,6553.69,6596.12,12287.49,60.04,28.93,A,213.18,214.80,213.20,370.57,372.21,368.02,214.44,216.29,214.64,372.81,374.76,370.21,216.26,218.23,216.64,375.93,378.22,373.64,19.52,23.31,50.51,26.32,27.12,53.71,39.18,35.44,65.83,0.83,0.84,0.96,IND,IND,IND,0.91,0.86,0.97,IND,IND,IND,0.97,0.91,0.98,IND,IND,IND,A,11/04/2023 17:41,B,11/04/2023 17:49,C,11/04/2023 17:42,B,11/04/2023 17:49,A,11/04/2023 17:40,C,11/04/2023 17:44,A,11/04/2023 17:46,A,31/12/1969 21:00,60.02,60.10,60.05,11/04/2023 17:48,11/04/2023 17:47,Válido,None,None,None,3.56,3.56,3.56,0.00,1.33,1.33,1.33,0.00,0.00,0.00,1.33,0.00,3.81,7756.76,24001.01,145644.70,7186.81,22484.94,143436.20,2916.88,8361.37,-64429.99,2916.88,8361.37,-64429.99,0.00,0.00,-19588.15
11/04/2023 18:00,216.31,215.42,217.62,215.90,49.42,59.64,28.29,60.33,374.66,374.03,376.97,372.98,0.98,0.99,0.92,0.98,IND,IND,IND,IND,31120.29,12742.03,5635.95,12742.31,6816.13,1641.33,2479.61,2695.20,31858.00,12847.31,6157.30,13024.23,60.00,39.22,A,215.20,217.33,215.66,373.76,376.53,372.49,215.91,218.17,216.55,375.08,378.02,373.82,216.76,218.83,217.20,376.67,379.03,375.18,29.63,22.17,45.73,51.45,26.14,56.35,68.17,37.85,78.88,0.87,0.86,0.96,IND,IND,IND,0.98,0.91,0.98,IND,IND,IND,0.99,0.94,0.99,IND,IND,IND,A,11/04/2023 17:56,B,11/04/2023 17:53,C,11/04/2023 17:59,B,11/04/2023 17:52,B,11/04/2023 17:52,C,11/04/2023 17:54,B,11/04/2023 17:51,A,31/12/1969 21:00,59.98,60.09,60.02,11/04/2023 17:58,11/04/2023 17:51,Válido,None,None,None,4.66,4.66,4.66,0.00,1.15,1.15,1.15,0.00,0.00,0.00,1.15,0.00,4.81,7.08,26998.01,145644.70,6.92,25839.05,143436.20,1.51,7527.68,-64429.99,1.51,7527.68,-64429.99,0.00,0.00,-19588.15
11/04/2023 18:10,213.93,212.76,215.12,213.90,47.00,52.48,37.45,51.08,370.53,369.96,372.86,368.76,0.95,0.95,0.91,0.97,IND,IND,IND,IND,28560.17,10648.23,7304.84,10607.10,9375.14,3360.09,3395.05,2620.00,30059.55,11165.80,8055.25,10925.88,59.99,16.46,A,212.57,214.91,213.71,369.63,372.48,368.53,214.35,216.61,215.24,372.45,375.33,371.46,215.52,217.85,216.21,374.27,377.20,373.40,49.26,26.98,44.01,52.72,32.18,49.98,60.45,46.50,65.30,0.95,0.88,0.94,IND,IND,IND,0.98,0.91,0.97,IND,IND,IND,0.99,0.93,0.98,IND,IND,IND,A,11/04/2023 18:09,B,11/04/2023 18:00,C,11/04/2023 18:09,B,11/04/2023 18:00,B,11/04/2023 18:00,C,11/04/2023 18:07,B,11/04/2023 18:05,A,31/12/1969 21:00,59.96,60.04,60.00,11/04/2023 18:05,11/04/2023 18:00,Válido,None,None,None,4.63,4.63,4.63,0.00,1.35,1.35,1.35,0.00,0.00,0.00,1.35,0.00,4.82,19281.33,26998.01,145644.70,18509.92,25839.05,143436.20,5383.29,7527.68,-64429.99,5383.29,7527.68,-64429.99,0.00,0.00,-19588.15
11/04/2023 18:20,213.37,212.37,214.78,212.95,55.17,50.60,47.01,67.91,369.56,369.63,371.95,367.09,0.97,0.98,0.97,0.98,IND,IND,IND,IND,34397.53,10504.11,9745.60,14147.83,7898.32,2266.41,2636.12,2995.79,35292.68,10745.83,10095.83,14461.53,60.01,22.89,A,211.48,214.27,212.49,367.68,370.91,366.77,212.43,214.89,213.38,369.35,372.25,368.10,213.42,215.44,214.24,370.72,373.28,369.74,31.76,28.49,46.46,55.26,35.63,51.51,79.58,50.42,70.81,0.95,0.91,0.94,IND,IND,IND,0.98,0.93,0.97,IND,IND,IND,0.99,0.97,0.99,IND,IND,IND,A,11/04/2023 18:15,B,11/04/2023 18:12,C,11/04/2023 18:19,B,11/04/2023 18:11,B,11/04/2023 18:17,A,11/04/2023 18:14,B,11/04/2023 18:10,A,31/12/1969 21:00,59.96,60.03,60.00,11/04/2023 18:17,11/04/2023 18:11,Válido,None,None,None,4.88,4.88,4.88,0.00,1.30,1.30,1.30,0.00,0.00,0.00,1.30,0.00,5.05,9836.55,29631.95,145644.70,9528.52,28483.43,143436.20,2432.25,8141.41,-64429.99,2432.25,8141.41,-64429.99,0.00,0.00,-19588.15
11/04/2023 18:30,212.66,211.88,214.01,212.08,40.78,29.62,32.05,60.66,368.33,368.58,370.65,365.76,0.95,0.95,0.93,0.96,IND,IND,IND,IND,24715.13,5986.31,6362.37,12366.45,7996.60,1887.39,2559.96,3549.25,25976.59,6276.79,6858.07,12865.71,59.97,32.61,A,211.67,213.92,212.07,368.19,370.57,365.76,212.38,214.56,213.03,369.41,371.78,367.24,213.00,215.29,213.53,370.65,372.88,368.17,26.64,28.96,48.87,31.83,33.34,52.69,56.37,47.06,72.36,0.89,0.92,0.95,IND,IND,IND,0.94,0.93,0.96,IND,IND,IND,0.98,0.97,0.98,IND,IND,IND,A,11/04/2023 18:28,B,11/04/2023 18:22,C,11/04/2023 18:30,B,11/04/2023 18:22,A,11/04/2023 18:21,C,11/04/2023 18:24,A,11/04/2023 18:21,A,31/12/1969 21:00,59.93,60.03,59.99,11/04/2023 18:25,11/04/2023 18:22,Válido,None,None,None,3.98,3.98,3.98,0.00,1.30,1.30,1.30,0.00,0.00,0.00,1.30,0.00,4.19,5.77,26573.65,145644.70,5.49,25436.81,143436.20,1.78,7619.74,-64429.99,1.78,7619.74,-64429.99,0.00,0.00,-19588.15
